Brand,Category,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm)
aprilia,Naked bike,839.3,75.1,73.0,V2,Automatic,88.0,69.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,189.0,1463.0,800.0
honda,Sport touring,1084.0,100.0,110.0,V4,5-speed,73.0,64.8,28.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,279.0,1555.0,800.0
bmw,Scooter,647.0,60.0,66.0,Twin,Automatic,79.0,66.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,241.0,1591.0,795.0
harley-davidson,Custom / cruiser,749.0,58.0,60.3,V2,6-speed,85.0,66.0,13.1,Single Overhead Cams (SOHC),Liquid,Belt,223.0,1534.0,720.0
triumph,Naked bike,765.0,113.0,73.0,In-line three,6-speed,78.0,53.4,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,166.0,1410.0,810.0
triumph,Allround,1050.0,125.0,104.0,In-line three,6-speed,79.0,71.4,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,216.0,1540.0,830.0
triumph,Naked bike,675.0,106.0,68.0,In-line three,6-speed,74.0,52.3,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,168.0,1410.0,800.0
aprilia,Sport,997.6,130.0,101.0,Twin,6-speed,97.0,67.5,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1415.0,820.0
bmw,Touring,1649.0,160.0,175.0,In-line six,6-speed,72.0,67.5,26.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,323.0,1618.0,750.0
honda,Custom / cruiser,748.0,78.2,65.0,V4,5-speed,70.0,48.6,13.62,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,229.1,1651.0,711.0
triumph,Classic,1200.0,77.0,106.0,Twin,6-speed,97.6,80.0,12.11,Single Overhead Cams (SOHC),Liquid,Chain,245.5,1510.0,705.0
harley-davidson,Touring,1745.0,90.0,153.0,V2,6-speed,100.0,111.1,22.71,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,398.0,1625.0,740.0
harley-davidson,Touring,1753.5,85.8,154.0,V2,6-speed,98.4,111.3,22.71,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,353.0,1625.0,715.0
yamaha,Sport,998.0,200.0,112.0,In-line four,6-speed,79.0,50.9,17.03,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,180.0,1405.0,861.0
triumph,Classic,1200.0,97.0,112.0,Twin,6-speed,97.6,80.0,14.5,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,206.0,1415.0,805.0
keeway,Naked bike,124.5,11.0,9.2,Single cylinder,5-speed,57.0,48.8,17.0,Single Overhead Cams (SOHC),Air,Chain,123.0,1330.0,770.0
can-am,Sport,998.0,106.0,104.0,V2,5-speed,97.0,68.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,317.0,1727.0,737.0
suzuki,Scooter,49.0,3.4,3.6,Single cylinder,3-speed,39.0,41.8,4.5,Single Overhead Cams (SOHC),Air,Belt,78.0,1150.0,705.0
moto guzzi,Touring,1151.0,95.0,100.0,V2,6-speed,95.0,81.2,23.0,Overhead Valves (OHV),Air,Shaft drive,246.0,1495.0,800.0
honda,Scooter,124.8,9.4,10.4,Single cylinder,4-speed,52.4,57.9,3.8,Overhead Cams (OHC),Air,Belt,99.0,1239.0,776.0
california scooter,Touring,250.0,24.8,22.5,Single cylinder,6-speed,77.0,53.6,15.9,Single Overhead Cams (SOHC),Liquid,Chain,175.1,1400.0,795.0
hyosung,Sport,125.0,14.2,10.2,V2,5-speed,44.0,41.0,17.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,166.0,1445.0,780.0
ducati,Classic,803.0,73.8,68.0,V2,6-speed,88.0,66.0,13.5,Desmodromic valve control,Air,Chain,176.5,1445.0,790.0
can-am,Touring,1330.0,115.0,130.0,In-line three,5-speed,84.0,80.0,27.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,459.0,1714.0,772.0
aprilia,Super motard,749.9,90.3,82.0,V2,6-speed,92.0,56.4,12.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1505.0,870.0
yamaha,Scooter,125.0,10.7,9.3,Single cylinder,Automatic,52.4,57.9,7.4,Single Overhead Cams (SOHC),Air,Belt,112.0,1295.0,785.0
ducati,Classic,803.0,73.0,68.0,V2,6-speed,88.0,66.0,13.5,Desmodromic valve control,Air,Chain,170.0,1445.0,770.0
moto guzzi,Naked bike,1151.0,103.0,105.0,V2,6-speed,95.0,81.2,23.0,Overhead Valves (OHV),Air,Shaft drive,240.0,1485.0,800.0
yamaha,Naked bike,153.0,14.0,14.0,Single cylinder,5-speed,58.0,57.9,14.0,Single Overhead Cams (SOHC),Air,Chain,126.0,1335.0,790.0
fb mondial,Classic,249.0,24.8,22.0,Single cylinder,6-speed,77.0,53.6,14.0,Single Overhead Cams (SOHC),Liquid,Chain,130.0,1370.0,785.0
honda,Sport,1284.0,99.2,114.0,In-line four,5-speed,78.0,67.2,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,272.0,1510.0,780.0
harley-davidson,Custom / cruiser,1690.0,75.1,130.0,V2,6-speed,98.4,111.1,18.93,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,309.0,1710.0,660.0
triumph,Allround,1215.0,139.0,123.0,In-line three,6-speed,85.0,71.4,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,246.0,1520.0,837.0
triumph,Custom / cruiser,865.0,61.0,72.0,Twin,5-speed,90.0,68.0,19.3,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,231.0,1600.0,690.0
mv agusta,Sport touring,798.0,110.0,83.0,In-line three,6-speed,79.0,54.3,22.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,192.0,1420.0,850.0
yamaha,Scooter,125.0,9.4,9.6,Single cylinder,Automatic,52.4,57.9,4.2,Single Overhead Cams (SOHC),Air,Belt,98.0,1260.0,760.0
harley-davidson,Custom / cruiser,1199.0,58.0,69.0,V2,5-speed,88.8,96.8,17.4,Overhead Valves (OHV),Air,Belt,255.0,1520.0,673.0
ducati,Allround,937.0,113.0,96.2,V2,6-speed,94.0,67.5,20.0,Desmodromic valve control,Liquid,Chain,205.7,1594.0,840.0
ducati,Naked bike,1198.4,162.0,127.0,V2,6-speed,106.0,67.9,17.0,Desmodromic valve control,Liquid,Chain,210.0,1590.0,770.0
honda,Super motard,996.0,92.5,98.0,V2,6-speed,98.0,66.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,244.0,1560.0,838.0
moto guzzi,Naked bike,1064.0,86.9,89.0,V2,6-speed,92.0,80.0,17.2,Overhead Valves (OHV),Air,Shaft drive,227.0,1554.0,800.0
yamaha,Scooter,113.7,8.0,7.4,Single cylinder,Automatic,50.0,57.9,3.7,Single Overhead Cams (SOHC),Air,Belt,95.0,1240.0,745.0
ducati,Sport,1198.4,180.0,134.0,V2,6-speed,106.0,67.9,18.0,Desmodromic valve control,Liquid,Chain,164.0,1430.0,820.0
moto guzzi,Touring,1064.0,73.8,88.5,V2,5-speed,92.0,80.0,19.0,Overhead Cams (OHC),Air,Shaft drive,251.0,1560.0,780.0
triumph,Naked bike,900.0,55.0,80.0,Twin,5-speed,84.6,80.0,12.11,Single Overhead Cams (SOHC),Liquid,Chain,198.2,1415.0,749.0
bmw,Naked bike,1170.0,107.0,115.0,Two cylinder boxer,6-speed,101.0,73.0,18.0,Single Overhead Cams (SOHC),Oil & air,Shaft drive,198.0,1495.0,800.0
honda,Naked bike,471.0,46.9,43.0,Twin,6-speed,67.0,66.8,15.7,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,173.4,1410.0,790.0
ducati,Allround,1198.4,150.0,118.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,189.0,1530.0,850.0
benelli,Naked bike,1131.0,157.0,120.0,In-line three,6-speed,88.0,62.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,205.0,1443.0,830.0
ducati,Naked bike,998.0,128.0,103.0,V2,6-speed,100.0,63.5,14.0,Desmodromic valve control,Liquid,Chain,177.0,1440.0,800.0
triumph,Naked bike,765.0,116.0,77.0,In-line three,6-speed,78.0,53.4,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,166.0,1410.0,810.0
ktm,Sport,1148.0,151.0,120.0,V2,6-speed,103.0,69.0,16.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,188.0,1430.0,805.0
ducati,Naked bike,821.0,112.0,89.4,V2,6-speed,88.0,67.5,17.5,Desmodromic valve control,Air,Chain,179.5,1480.0,785.0
