Brand,Category,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm)
bmw,Enduro / offroad,798.0,69.7,75.0,Twin,6-speed,82.0,75.6,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,179.0,1575.0,820.0
ducati,Sport,1198.4,170.0,131.0,V2,6-speed,106.0,67.9,15.5,Desmodromic valve control,Liquid,Chain,171.0,1430.0,820.0
triumph,Allround,1215.0,139.0,123.0,In-line three,6-speed,85.0,71.4,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,258.0,1520.0,837.0
honda,Super motard,996.0,92.5,98.0,V2,6-speed,98.0,66.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,244.2,1560.0,838.0
harley-davidson,Touring,1746.0,89.0,150.0,V2,6-speed,100.0,111.1,22.71,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,360.2,1625.0,668.0
kymco,Scooter,49.0,1.9,4.1,Single cylinder,4-speed,39.0,41.0,3.5,Single Overhead Cams (SOHC),Air,Shaft drive,92.5,1325.0,800.0
mv agusta,Sport,998.0,195.0,110.0,In-line four,6-speed,79.0,50.9,17.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,291.0,1430.0,830.0
ducati,Allround,1198.4,160.0,136.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,209.0,1530.0,825.0
bmw,Enduro / offroad,798.0,48.0,83.0,Twin,6-speed,82.0,75.6,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1578.0,880.0
aprilia,Super motard,749.9,90.3,82.0,V2,6-speed,92.0,56.4,12.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,190.0,1505.0,870.0
bmw,Touring,1649.0,158.0,175.0,In-line six,6-speed,72.0,67.5,26.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,306.0,1618.0,750.0
triumph,Super motard,800.0,95.0,79.0,In-line three,6-speed,74.1,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,208.0,1545.0,840.0
suzuki,Sport,1340.0,194.0,155.0,In-line four,6-speed,81.0,65.0,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,266.0,1480.0,805.0
triumph,Super motard,799.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,196.0,1545.0,790.0
piaggio,Scooter,49.9,11.4,3.5,Single cylinder,Automatic,39.0,41.8,7.1,Single Overhead Cams (SOHC),Air,Belt,100.0,1331.0,785.0
victory,Custom / cruiser,1179.0,104.0,103.0,V2,6-speed,101.0,73.6,12.87,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,248.6,1577.0,658.0
suzuki,Sport,1340.0,197.0,155.0,In-line four,6-speed,81.0,65.0,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,266.0,1480.0,805.0
honda,Sport,471.0,46.9,43.0,Twin,6-speed,67.0,66.8,17.3,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,182.0,1421.0,810.0
ducati,Naked bike,1198.4,145.0,124.0,V2,6-speed,106.0,67.9,17.5,Desmodromic valve control,Liquid,Chain,182.0,1511.0,785.0
bmw,Sport touring,798.0,90.0,86.0,Twin,6-speed,82.0,75.6,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,206.0,1514.0,800.0
harley-davidson,Touring,1584.0,84.0,127.0,V2,6-speed,95.3,111.1,22.7,Overhead Valves (OHV),Air,Belt,375.0,1612.0,693.0
ducati,Sport touring,939.0,113.0,97.9,V2,6-speed,94.0,67.5,16.0,Desmodromic valve control,Liquid,Chain,187.0,1485.0,810.0
ducati,Naked bike,803.0,87.0,78.0,V2,6-speed,88.0,66.0,15.0,Desmodromic valve control,Air,Chain,167.0,1450.0,770.0
ducati,Sport,1285.0,205.0,144.0,V2,6-speed,116.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,164.0,1437.0,830.0
kawasaki,Sport,599.0,108.0,65.0,In-line four,6-speed,66.0,43.8,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,176.0,1466.0,820.0
ktm,Naked bike,125.0,15.0,12.0,Single cylinder,6-speed,58.0,47.2,13.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,139.0,1357.0,830.0
harley-davidson,Custom / cruiser,1449.0,67.0,106.0,V2,5-speed,95.3,101.6,19.7,Overhead Valves (OHV),Air,Belt,293.0,1665.0,738.0
triumph,Custom / cruiser,865.0,55.0,69.0,Twin,5-speed,90.0,68.0,16.6,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,229.0,1655.0,720.0
ducati,Classic,1079.0,84.5,88.0,V2,6-speed,98.0,71.0,15.0,Desmodromic valve control,Air,Chain,189.0,1514.0,810.0
yamaha,Naked bike,689.0,73.8,68.0,Twin,6-speed,80.0,68.6,14.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,164.0,1400.0,805.0
honda,Scooter,248.0,22.8,23.0,Single cylinder,Automatic,68.0,68.5,12.0,Overhead Cams (OHC),Liquid,Belt,180.0,1540.0,755.0
bmw,Touring,1170.0,125.0,125.0,Two cylinder boxer,6-speed,101.0,73.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,233.2,1485.0,805.0
aprilia,Scooter,181.0,19.0,17.2,Single cylinder,Automatic,63.0,58.0,8.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,154.0,1380.0,810.0
honda,Sport,125.0,14.2,10.0,V2,5-speed,42.0,45.0,16.8,Single Overhead Cams (SOHC),Liquid,Chain,152.0,1450.0,800.0
ccm,Super motard,644.0,53.0,52.0,Single cylinder,5-speed,100.0,82.0,13.0,Overhead Cams (OHC),Oil & air,Chain,137.0,1525.0,865.0
ducati,Sport,955.0,155.0,104.0,V2,6-speed,100.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,176.0,1436.0,830.0
aprilia,Sport,999.6,180.0,115.0,V4,6-speed,78.0,52.3,17.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,179.0,1412.0,845.0
benelli,Naked bike,300.0,38.0,27.4,Twin,6-speed,57.4,57.8,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,185.0,1410.0,795.0
bmw,Touring,1649.0,160.0,175.0,In-line six,6-speed,72.0,67.5,26.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,323.0,1680.0,750.0
moto guzzi,Custom / cruiser,935.6,75.0,75.0,V2,6-speed,95.0,66.0,19.0,Overhead Valves (OHV),Air,Shaft drive,223.0,1560.0,760.0
buell,Naked bike,1203.0,100.0,109.0,Twin,5-speed,88.9,96.8,14.0,Overhead Valves (OHV),Air,Belt,179.0,1320.0,765.0
benelli,Sport,300.0,35.4,27.4,Twin,6-speed,57.4,57.8,14.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,180.0,1405.0,780.0
harley-davidson,Custom / cruiser,1868.0,94.0,155.0,V2,6-speed,100.0,114.3,18.9,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,316.0,1630.0,680.0
benelli,Naked bike,1131.0,135.0,110.0,In-line three,6-speed,88.0,62.0,17.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,208.0,1443.0,780.0
ducati,Enduro / offroad,1198.4,160.0,136.0,V2,6-speed,106.0,67.9,30.0,Desmodromic valve control,Liquid,Chain,225.0,1594.0,870.0
yamaha,Custom / cruiser,696.0,86.0,61.8,In-line four,5-speed,65.0,52.4,13.0,Double Overhead Cams/Twin Cam (DOHC),Air,Shaft drive,219.0,1520.0,750.0
harley-davidson,Custom / cruiser,1201.3,67.0,96.0,V2,5-speed,88.9,96.8,17.0,Overhead Valves (OHV),Air,Belt,255.0,1530.0,725.0
honda,Allround,149.2,10.5,11.6,Single cylinder,5-speed,57.3,57.8,14.3,Overhead Cams (OHC),Air,Chain,120.0,1306.0,771.0
triumph,Super motard,800.0,95.0,79.0,In-line three,6-speed,74.1,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,199.0,1530.0,760.0
moto guzzi,Naked bike,1064.0,110.0,108.0,V2,6-speed,95.0,81.5,16.7,Overhead Valves (OHV),Air,Shaft drive,222.0,1554.0,800.0
moto guzzi,Sport touring,1064.0,89.9,94.0,V2,6-speed,92.0,80.0,20.7,Overhead Cams (OHC),Air,Shaft drive,226.0,1490.0,800.0
ktm,Enduro / offroad,999.0,104.0,100.0,Twin,6-speed,101.0,62.4,19.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,209.0,1570.0,860.0
ktm,Sport,1195.0,167.0,123.0,V2,6-speed,105.0,69.0,16.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,182.0,1425.0,805.0
benelli,Naked bike,899.0,120.0,88.0,In-line three,6-speed,88.0,49.2,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,205.0,1443.0,830.0
moto guzzi,Custom / cruiser,744.0,45.6,77.3,V2,5-speed,80.0,74.0,14.0,Overhead Cams (OHC),Air,Shaft drive,176.0,1482.0,770.0
ducati,Sport,1285.0,205.0,144.0,V2,6-speed,116.0,60.8,17.0,Desmodromic valve control,Liquid,Chain,166.5,1437.0,830.0
triumph,Classic,865.0,68.0,68.0,Twin,5-speed,90.0,68.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,209.0,1490.0,740.0
ktm,Naked bike,999.0,130.0,102.0,V2,6-speed,101.0,62.4,18.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,186.0,1450.0,855.0
triumph,Naked bike,1050.0,130.0,105.0,In-line three,6-speed,79.0,71.4,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,189.0,1429.0,815.0
ducati,Naked bike,849.0,132.0,93.5,V2,6-speed,94.0,61.2,16.5,Desmodromic valve control,Liquid,Chain,169.0,1475.0,840.0
yamaha,Enduro / offroad,660.0,47.3,60.0,Single cylinder,5-speed,100.0,84.0,15.0,Single Overhead Cams (SOHC),Liquid,Chain,165.0,1505.0,875.0
honda,Allround,223.0,21.5,18.0,Single cylinder,5-speed,65.5,66.2,7.2,Overhead Cams (OHC),Air,Chain,119.0,1395.0,780.0
malaguti,Scooter,493.0,40.9,40.4,Single cylinder,Automatic,94.0,71.0,14.5,Single Overhead Cams (SOHC),Liquid,Belt,204.0,1490.0,760.0
ducati,Sport,937.0,113.0,96.7,V2,6-speed,94.0,67.5,16.0,Desmodromic valve control,Liquid,Chain,183.0,1478.0,810.0
keeway,Sport,149.4,11.3,11.3,Single cylinder,4-speed,62.0,49.5,11.3,Single Overhead Cams (SOHC),Air,Chain,99.0,1246.0,800.0
ducati,Naked bike,1262.0,156.0,128.0,V2,6-speed,106.0,71.5,17.0,Desmodromic valve control,Liquid,Belt,220.0,1615.0,755.0
yamaha,Sport,49.0,2.7,3.0,Single cylinder,6-speed,40.3,39.0,14.0,Single Overhead Cams (SOHC),Liquid,Chain,112.0,1341.0,815.0
hyosung,Custom / cruiser,647.0,79.0,67.0,V2,5-speed,81.5,62.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Belt,232.0,1700.0,690.0
harley-davidson,Custom / cruiser,1690.0,77.5,130.0,V2,6-speed,98.4,111.1,17.8,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,291.0,1631.0,680.0
honda,Sport,998.0,169.0,114.0,In-line four,6-speed,75.0,56.5,18.16,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,176.0,1402.0,820.0
gilera,Scooter,492.7,40.0,46.5,Single cylinder,Automatic,94.0,71.0,12.0,Single Overhead Cams (SOHC),Liquid,Chain,244.0,1550.0,785.0
husqvarna,Enduro / offroad,692.7,73.8,67.0,Single cylinder,6-speed,105.0,80.0,13.0,Single Overhead Cams (SOHC),Liquid,Chain,145.0,1504.0,920.0
triumph,Classic,865.0,68.0,68.0,Twin,5-speed,90.0,68.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,209.0,1490.0,740.0
honda,Sport,399.0,52.3,38.0,In-line four,6-speed,55.0,42.0,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,195.0,1560.0,755.0
moto guzzi,Custom / cruiser,1064.0,73.8,88.5,V2,5-speed,92.0,80.0,19.0,Overhead Cams (OHC),Air,Shaft drive,246.0,1560.0,760.0
wakan,Naked bike,1640.0,120.0,165.0,V2,5-speed,101.6,101.6,13.0,Overhead Valves (OHV),Air,Belt,183.0,1380.0,790.0
mv agusta,Sport,998.0,201.0,111.0,In-line four,6-speed,79.0,50.9,17.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,190.0,1430.0,830.0
bmw,Enduro / offroad,652.0,53.0,60.0,Single cylinder,5-speed,100.0,83.0,9.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,148.0,1498.0,870.0
bmw,Sport,1170.0,131.0,115.0,Twin,6-speed,101.0,73.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,178.0,1485.0,830.0
harley-davidson,Touring,1745.0,90.0,150.0,V2,6-speed,100.0,111.3,22.71,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,372.0,1625.0,685.0
triumph,Touring,2294.0,106.0,154.0,In-line three,5-speed,101.6,94.3,18.54,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,357.4,1707.0,736.0
ducati,Enduro / offroad,1262.0,158.0,128.0,V2,6-speed,106.0,71.5,30.0,Desmodromic valve control,Liquid,Chain,225.0,1592.0,840.0
bmw,Scooter,350.0,34.0,35.0,Single cylinder,Automatic,80.0,69.5,12.8,Overhead Cams (OHC),Liquid,Chain,193.0,1565.0,775.0
keeway,Super motard,124.5,11.0,9.4,Single cylinder,5-speed,57.0,48.8,10.5,Single Overhead Cams (SOHC),Air,Chain,135.0,1340.0,825.0
harley-davidson,Sport,1202.0,90.0,100.0,V2,5-speed,88.9,96.8,13.3,Overhead Valves (OHV),Air,Belt,250.0,1515.0,765.0
bmw,Touring,1649.0,160.0,175.0,In-line six,6-speed,72.0,67.5,24.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,295.0,1680.0,810.0
benelli,Allround,499.6,47.6,45.0,Twin,6-speed,69.0,66.8,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,213.0,1525.0,800.0
harley-davidson,Touring,1745.0,89.0,150.0,V2,6-speed,100.0,111.3,22.7,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,362.0,1625.0,690.0
ktm,Super motard,999.0,115.0,100.0,V2,6-speed,101.0,62.4,19.68,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,209.6,1570.0,861.0
moto guzzi,Classic,744.0,48.0,60.0,V2,5-speed,80.0,74.0,21.0,Pushrods,Air,Shaft drive,186.0,1450.0,798.0
keeway,Enduro / offroad,197.0,12.7,13.5,Single cylinder,5-speed,63.5,62.2,10.5,Overhead Valves (OHV),Liquid,Chain,135.0,1340.0,825.0
suzuki,Enduro / offroad,124.0,10.0,9.5,Single cylinder,6-speed,57.0,48.8,8.5,Overhead Cams (OHC),Air,Chain,121.0,1340.0,820.0
bmw,Touring,1170.0,108.0,120.0,Two cylinder boxer,6-speed,101.0,73.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,229.0,1485.0,820.0
bmw,Enduro / offroad,798.0,85.0,83.0,Twin,6-speed,82.0,75.6,24.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,191.0,1578.0,890.0
triumph,Allround,1215.0,139.0,122.0,In-line three,6-speed,85.0,71.4,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,243.0,1520.0,837.0
bmw,Touring,1170.0,125.0,125.0,Two cylinder boxer,6-speed,101.0,73.0,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,233.2,1485.0,805.0
mv agusta,Naked bike,1078.0,154.0,117.0,In-line four,6-speed,79.0,55.0,19.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,185.0,1411.0,805.0
aprilia,Naked bike,896.1,95.2,90.0,V2,6-speed,92.0,64.1,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,193.0,1440.0,810.0
honda,Scooter,125.0,13.0,11.1,Single cylinder,Automatic,52.4,57.8,9.4,Single Overhead Cams (SOHC),Liquid,Belt,156.0,1490.0,776.0
yamaha,Sport,998.0,177.0,112.0,In-line four,6-speed,77.0,53.6,17.97,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,176.9,1415.0,836.0
triumph,Classic,1200.0,80.0,105.0,Twin,6-speed,97.6,80.0,12.87,Single Overhead Cams (SOHC),Air,Chain,224.0,1446.0,790.0
honda,Scooter,248.0,22.0,22.0,Single cylinder,Automatic,68.0,68.5,12.0,Overhead Cams (OHC),Liquid,Belt,201.0,1540.0,755.0
ktm,Naked bike,690.0,69.1,70.0,Single cylinder,6-speed,102.0,84.5,13.5,Overhead Cams (OHC),Liquid,Chain,148.0,1472.0,865.0
harley-davidson,Touring,1200.0,67.1,96.0,V2,5-speed,88.9,96.8,17.03,Overhead Valves (OHV),Air,Belt,232.0,1501.0,648.0
honda,Naked bike,471.0,46.9,43.0,Twin,6-speed,67.0,66.8,15.7,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,173.4,1410.0,790.0
ducati,Sport,849.4,170.0,131.0,V2,6-speed,94.0,61.2,15.5,Desmodromic valve control,Liquid,Chain,168.0,1430.0,830.0
harley-davidson,Touring,1746.0,90.0,150.0,V2,6-speed,100.0,111.0,22.71,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,398.0,1625.0,740.0
suzuki,Scooter,124.0,9.9,10.0,Single cylinder,Automatic,53.5,55.2,4.3,Single Overhead Cams (SOHC),Air,Belt,104.0,1220.0,770.0
mv agusta,Naked bike,798.0,138.0,87.0,In-line three,6-speed,79.0,54.3,16.5,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,168.0,1380.0,820.0
yamaha,Allround,897.0,85.0,88.8,Twin,6-speed,92.0,67.5,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,199.0,1485.0,825.0
bmw,Enduro / offroad,652.0,50.0,44.0,Single cylinder,5-speed,100.0,83.0,14.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,175.1,1478.0,800.0
yamaha,Sport,1670.0,90.0,150.0,V2,5-speed,97.0,113.0,15.0,Overhead Valves (OHV),Air,Chain,246.0,1525.0,825.0
bmw,Enduro / offroad,1170.0,108.0,120.0,Two cylinder boxer,6-speed,101.0,73.0,33.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive,223.0,1510.0,890.0
triumph,Classic,865.0,70.0,72.0,Twin,5-speed,90.0,68.0,16.6,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,205.0,1490.0,790.0
suzuki,Scooter,124.0,9.3,9.6,Single cylinder,Automatic,53.5,55.2,3.9,Single Overhead Cams (SOHC),Air,Belt,106.0,1285.0,770.0
moto guzzi,Custom / cruiser,1064.0,73.8,88.0,V2,5-speed,92.0,80.0,19.0,Overhead Valves (OHV),Air,Shaft drive,256.0,1560.0,780.0
buell,Naked bike,1202.9,92.5,104.0,V2,5-speed,88.9,96.8,14.45,Overhead Valves (OHV),Oil & air,Belt,179.0,1320.0,726.0
triumph,Super motard,799.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,208.0,1545.0,840.0
honda,Scooter,97.1,7.2,7.3,Single cylinder,4-speed,50.0,49.5,3.7,Overhead Cams (OHC),Air,Belt,90.7,1234.0,751.0
ktm,Sport,124.7,15.0,12.0,Single cylinder,6-speed,58.0,47.2,10.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,135.0,1340.0,820.0
triumph,Classic,1200.0,77.0,106.0,Twin,6-speed,97.6,80.0,10.6,Single Overhead Cams (SOHC),Liquid,Chain,228.0,1510.0,690.0
triumph,Classic,865.0,67.0,71.0,Twin,5-speed,90.0,68.0,16.65,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,204.6,1500.0,775.0
hyosung,Sport,125.0,14.2,10.2,V2,5-speed,44.0,41.0,17.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,167.0,1445.0,795.0
suzuki,Sport,1340.0,197.0,155.0,In-line four,6-speed,81.0,65.0,20.82,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,266.0,1480.0,805.0
honda,Naked bike,249.4,29.0,23.0,Single cylinder,6-speed,76.0,63.0,12.87,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,158.0,1369.0,775.0
keeway,Custom / cruiser,124.1,10.5,8.9,Single cylinder,5-speed,56.5,49.5,15.0,Overhead Valves (OHV),Air,Chain,134.0,1440.0,730.0
triumph,Allround,1215.0,141.0,122.0,In-line three,6-speed,85.0,71.4,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,242.0,1520.0,835.0
keeway,Custom / cruiser,124.1,10.5,8.9,Single cylinder,5-speed,56.5,49.5,15.0,Overhead Valves (OHV),Air,Chain,134.0,1440.0,730.0
harley-davidson,Custom / cruiser,749.0,58.0,60.3,V2,6-speed,85.0,66.0,13.1,Single Overhead Cams (SOHC),Liquid,Belt,223.0,1534.0,653.0
moto guzzi,Naked bike,1064.0,110.0,108.0,V2,6-speed,95.0,81.5,16.7,Overhead Valves (OHV),Air,Shaft drive,222.0,1554.0,800.0
keeway,Scooter,124.8,8.7,9.5,Single cylinder,4-speed,52.4,57.8,4.0,Single Overhead Cams (SOHC),Air,Chain,105.0,1275.0,785.0
honda,Sport,399.0,52.3,38.0,In-line four,6-speed,55.0,42.0,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,195.0,1560.0,755.0
harley-davidson,Custom / cruiser,1202.0,65.0,99.0,V2,6-speed,88.9,96.8,7.9,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,247.0,1495.0,665.0
ducati,Naked bike,1099.0,155.0,115.0,V2,6-speed,104.0,64.7,16.5,Desmodromic valve control,Liquid,Chain,167.0,1475.0,840.0
honda,Sport,124.7,11.1,11.2,Single cylinder,5-speed,52.4,57.8,13.0,Overhead Cams (OHC),Air,Chain,128.0,1270.0,792.0
triumph,Custom / cruiser,2294.0,140.0,200.0,In-line three,5-speed,101.6,94.3,25.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,320.0,1690.0,740.0
mv agusta,Naked bike,998.0,139.0,106.0,In-line four,6-speed,76.0,55.0,23.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,190.0,1438.0,830.0
yamaha,Scooter,125.0,9.4,9.6,Single cylinder,Automatic,52.4,57.9,4.2,Single Overhead Cams (SOHC),Air,Belt,96.0,1260.0,750.0
skyteam,"Minibike, cross",49.0,3.4,2.8,Single cylinder,4-speed,39.0,41.4,8.5,Single Overhead Cams (SOHC),Air,Chain,88.0,1215.0,720.0
moto guzzi,Classic,1064.0,72.4,94.0,V2,5-speed,92.0,80.0,19.0,Overhead Valves (OHV),Air,Shaft drive,263.0,1560.0,780.0
suzuki,Custom / cruiser,805.0,50.0,62.0,V2,5-speed,83.0,74.4,12.0,Single Overhead Cams (SOHC),Liquid,Shaft drive,204.0,1560.0,700.0
yamaha,Sport,847.0,115.0,87.5,In-line three,6-speed,78.0,59.1,18.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,190.0,1440.0,815.0
ktm,Allround,799.0,93.9,88.0,Twin,6-speed,88.0,65.7,20.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,189.0,1475.0,850.0
bmw,Touring,1649.0,160.0,175.0,In-line six,6-speed,72.0,67.5,26.5,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,321.0,1618.0,750.0
norton,Classic,961.0,80.0,90.0,Twin,5-speed,88.0,79.0,17.0,Pushrods,Air,Chain,188.0,1400.0,810.0
triumph,Super motard,799.0,95.0,79.0,In-line three,6-speed,74.0,61.9,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,188.0,1545.0,810.0
buell,Naked bike,984.0,84.2,85.6,Twin,5-speed,88.9,96.8,14.0,Overhead Valves (OHV),Air,Belt,175.0,1320.0,765.0
honda,Allround,149.2,10.5,11.6,Single cylinder,5-speed,57.3,57.8,14.3,Overhead Cams (OHC),Air,Chain,120.0,1306.0,771.0
bmw,Touring,987.0,90.0,86.0,In-line four,5-speed,67.0,70.0,22.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive,253.0,1565.0,800.0
piaggio,Scooter,493.0,40.1,45.5,Single cylinder,Automatic,94.0,71.0,12.0,Single Overhead Cams (SOHC),Liquid,Belt,261.7,1550.0,780.0
harley-davidson,Touring,1745.0,91.0,152.0,V2,6-speed,100.0,111.3,22.71,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Belt,398.0,1625.0,740.0
triumph,Classic,865.0,68.0,69.0,Twin,5-speed,90.0,68.0,16.0,Double Overhead Cams/Twin Cam (DOHC),Air,Chain,205.0,1500.0,775.0
yamaha,Naked bike,998.0,143.0,106.0,In-line four,6-speed,74.0,58.0,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,208.0,1397.0,825.0
ducati,Naked bike,618.0,46.4,57.0,Twin,5-speed,80.0,61.5,14.0,Desmodromic valve control,Air,Chain,166.0,1440.0,770.0
loncin,Enduro / offroad,150.1,17.7,10.5,Single cylinder,5-speed,62.0,49.9,9.0,Overhead Valves (OHV),Air,Chain,150.0,1470.0,910.0
mv agusta,Naked bike,1078.0,158.0,100.0,In-line four,6-speed,79.0,55.0,23.0,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,183.0,1438.0,825.0
bmw,Naked bike,798.0,90.0,86.0,Twin,6-speed,82.0,75.6,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,177.0,1520.0,790.0
kawasaki,Sport touring,649.0,71.0,65.8,Twin,6-speed,83.0,60.0,15.51,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,177.8,1410.0,787.0
suzuki,Naked bike,1340.0,181.0,146.0,In-line four,6-speed,81.0,65.0,16.5,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,239.0,1525.0,805.0
honda,Super motard,680.2,59.1,60.0,V2,5-speed,81.0,66.0,17.5,Single Overhead Cams (SOHC),Liquid,Chain,218.0,1515.0,841.0
aprilia,Naked bike,749.9,95.0,80.9,V2,6-speed,92.0,56.4,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,193.0,1440.0,810.0
ducati,Sport touring,1198.4,150.0,118.0,V2,6-speed,106.0,67.9,20.0,Desmodromic valve control,Liquid,Chain,189.0,1530.0,850.0
suzuki,Sport touring,1298.0,175.0,138.0,In-line four,6-speed,81.0,63.0,24.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,215.0,1485.0,805.0
ducati,Sport,1198.4,180.0,134.0,V2,6-speed,106.0,67.9,15.5,Desmodromic valve control,Liquid,Chain,165.0,1430.0,820.0
honda,Scooter,97.1,7.3,7.3,Single cylinder,Automatic,50.0,49.5,3.7,Overhead Cams (OHC),Air,Belt,91.5,1234.0,751.0
suzuki,Sport,154.9,14.8,14.0,Single cylinder,5-speed,56.0,62.9,12.0,Single Overhead Cams (SOHC),Air,Chain,128.0,1330.0,780.0
